gene,log2FoldChange,stat,pvalue,padj
ENSG00000272770,1.1710993,1.0,2.4549513,0.24155886480917377
ENSG00000172354,1.171088,1.0,0.6961727,0.24156339449000608
ENSG00000187164,1.1710768,1.0,1.6724684,0.24156792423062412
ENSG00000259956,1.1668053,1.0,0.86107016,0.24328900302759604
ENSG00000169689,1.1661855,1.0,1.2162879,0.24353947803131704
ENSG00000118971,1.1649119,1.0,1.6274403,0.24405465870577692
ENSG00000229214,1.1639652,1.0,4.559045,0.24443812047365354
ENSG00000125618,1.1639202,1.0,4.5169425,0.2444563911024673
ENSG00000158411,1.1633904,1.0,1.3109033,0.24467114280746272
ENSG00000184956,1.162624,1.0,2.188302,0.24498208172852187
ENSG00000118046,1.1618576,1.0,2.4459817,0.24529329782399734
ENSG00000112137,1.1614745,1.0,0.5729614,0.2454490098321901
ENSG00000186318,1.1608996,1.0,2.0630271,0.24568270781752688
ENSG00000142634,1.1591753,1.0,1.9587934,0.24638473783004644
ENSG00000253200,1.1591641,1.0,1.8861874,0.2463893308810643
ENSG00000158402,1.1588372,1.0,1.2180607,0.24652255546344715
ENSG00000152457,1.156707,1.0,1.2339361,0.24739204872051856
ENSG00000196188,1.1547799,1.0,4.0488367,0.24818058133961374
ENSG00000277688,1.1541262,1.0,3.5581656,0.24844843580167286
ENSG00000107863,1.1539007,1.0,0.67611176,0.24854084627994888
ENSG00000116729,1.153157,1.0,2.9302208,0.24884597142190745
ENSG00000078804,1.1528413,1.0,1.6630466,0.2489754975530668
ENSG00000185000,1.1523906,1.0,2.390999,0.24916061664101663
ENSG00000163517,1.1522102,1.0,2.1286836,0.24923469121057518
ENSG00000267125,1.1518158,1.0,2.0713935,0.24939678299503598
ENSG00000146648,1.1517932,1.0,2.4638674,0.2494060476075528
ENSG00000142599,1.1509593,1.0,0.8518837,0.249749007377986
ENSG00000170632,1.1508127,1.0,1.7347277,0.2498092910784918
ENSG00000006695,1.1508014,1.0,0.8887637,0.24981392870726649
ENSG00000148334,1.1505648,1.0,0.6548492,0.2499113328064726
ENSG00000182154,1.1485811,1.0,1.3935767,0.25072871492378346
ENSG00000237399,1.1480854,1.0,1.4324881,0.2509333517197634
ENSG00000158526,1.1475669,1.0,1.2245834,0.2511474147935717
ENSG00000100889,1.1474204,1.0,1.1709771,0.2512079339672054
ENSG00000187325,1.147319,1.0,0.95492494,0.2512498378170862
ENSG00000100266,1.1470597,1.0,1.0973538,0.25135694759046723
ENSG00000117543,1.1462821,1.0,1.1681966,0.2516784680348563
ENSG00000108788,1.1462257,1.0,0.71586746,0.2517017777587801
ENSG00000101074,1.1459665,1.0,24.624891,0.2518090218821236
ENSG00000048540,1.1454593,1.0,4.5275807,0.2520189394960073
ENSG00000120833,1.1445802,1.0,3.1014535,0.2523830856701712
ENSG00000115616,1.1444788,1.0,3.0629025,0.25242512612400814
ENSG00000230084,1.1443435,1.0,3.0233252,0.25248118765463023
ENSG00000165238,1.1437124,1.0,2.4903004,0.25274292286600897
ENSG00000086696,1.1432842,1.0,2.1525805,0.252920636538321
ENSG00000159842,1.1425741,1.0,2.0797136,0.25321545886868957
ENSG00000258136,1.1424953,1.0,2.0546136,0.2532482316746457
ENSG00000133816,1.1419317,1.0,2.003112,0.2534824090588872
ENSG00000125457,1.1404215,1.0,1.5421252,0.2541107478446296
ENSG00000278206,1.1402862,1.0,1.5208284,0.2541670698239815
ENSG00000115310,1.1395423,1.0,0.47773266,0.2544769959892025
ENSG00000186812,1.1392606,1.0,1.2877523,0.25459446089155513
ENSG00000101782,1.1389226,1.0,0.76426286,0.25473546855420337
ENSG00000166391,1.1367248,1.0,24.714188,0.25565334237593895
ENSG00000106617,1.136691,1.0,1.2729119,0.255667481440756
ENSG00000002834,1.136319,1.0,1.0549772,0.25582304701996217
ENSG00000117400,1.135733,1.0,3.5889764,0.2560683141128882
ENSG00000108557,1.1357105,1.0,3.568507,0.25607775072373085
ENSG00000245213,1.1356654,1.0,3.5477514,0.25609662467014793
ENSG00000049860,1.1355978,1.0,0.1541614,0.25612493740162556
ENSG00000165175,1.135192,1.0,2.873024,0.2562948594511719
ENSG00000052802,1.1328928,1.0,2.2694256,0.2572592299482267
ENSG00000104413,1.1325886,1.0,2.1910362,0.25738705566204156
ENSG00000162227,1.1322392,1.0,0.93327105,0.2575338728560852
ENSG00000273261,1.1316532,1.0,1.7318833,0.2577802773064676
ENSG00000071073,1.1311122,1.0,1.7723594,0.25800787266206027
ENSG00000148926,1.1309994,1.0,1.4520924,0.2580553058950924
ENSG00000259605,1.1293991,1.0,1.4327986,0.2587295104297944
ENSG00000144852,1.1270211,1.0,4.5693865,0.25973357425283994
ENSG00000279246,1.126931,1.0,4.451459,0.25977169603290395
ENSG00000138109,1.1267393,1.0,3.7062035,0.259852717677329
ENSG00000123191,1.1263787,1.0,3.5160632,0.26000527646287663
ENSG00000285744,1.1259278,1.0,3.0333188,0.260196062113768
ENSG00000135678,1.1258602,1.0,1.2234206,0.2602246883156766
ENSG00000235823,1.1254545,1.0,2.6759913,0.26039649129737896
ENSG00000090776,1.1250601,1.0,2.4278786,0.2605635972034476
ENSG00000147642,1.1249473,1.0,2.4815414,0.2606113553720525
