gene,pval,qval,log2fc,mean,zero_mean,grad,ll
ENSG00000138674,0.0,0.0,2.29385141302529,0.0979412636781335,False,6.51819061164899e-10,-2364.015251028341
ENSG00000138760,0.0,0.0,4.0430512678345485,0.0634212339638037,False,4.285026334616476e-11,-1715.2291214174093
ENSG00000139163,2.148059508044753e-12,3.4273178774854176e-12,1.674062561693321,0.1859990488278552,False,5.926876134206583e-11,-3815.593409274767
ENSG00000139644,0.0162282252172168,0.0179874797208532,1.8645188235104828,0.1611979526699614,False,1.3605135744771726e-09,-3498.247894618165
ENSG00000139793,0.0,0.0,2.8783345294572635,0.0408589201368015,False,4.2308770072473344e-10,-1194.142050294841
ENSG00000140526,4.401479181126433e-12,6.8695983481132176e-12,1.1334276395240046,0.316297454296486,False,2.7524409068457197e-11,-5411.790011603277
ENSG00000141232,0.0,0.0,3.001597393006388,0.3113678766191839,False,1.2430722674846853e-11,-5101.524727301283
ENSG00000142168,0.0225717122840309,0.0246370977217854,3.8889005880072895,0.0409551423958322,False,2.590601721966026e-10,-1284.3265914371148
ENSG00000142192,0.0,0.0,4.399726211773281,0.2740609445810858,False,1.3046723536371163e-08,-4039.419106416058
ENSG00000142396,1.75965286786095e-09,2.6082428603501067e-09,3.652170082420956,0.0941516974014662,False,1.4234242480628478e-06,-2221.63197914351
ENSG00000143344,0.0,0.0,5.834810737062602,0.0115953618552578,False,1.1845519323574266e-10,-425.1249065371319
ENSG00000143384,0.0,0.0,1.0744594221936763,0.4721141364383218,False,1.2523017822609432e-08,-6370.206762429672
ENSG00000143387,0.0,0.0,4.959341997225176,0.0406274282789684,False,4.2486609213537025e-11,-761.04157758655
ENSG00000143401,0.0,0.0,-1.662221738839553,0.0765827002564096,False,2.015873957432896e-09,-1919.391214550827
